Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
696,1.2658045977011494,156.11237230419977,119,66,273,542,0.014611097649624424,1627,0.2109280348921735,24039,0.21279379694693482,15604
Text,Sentiment,main reaction amount,reaction amount,reactions,author
"@OG Martial Päderastie gab es schon im alten Griechenland. Dekadenz ist auch keine Form von Fortschritt und entwickelt sich dennoch immer wieder. Mit ""das war gestern"" und ""das ist heute"" zu argumentieren scheint daher etwas schwach.",['neutral'],SO NICHT,7,14
@Shannayaaa welches sind die Intoleranten?,['neutral'],GENAU,10,12
@Klassischer Fehlschluss Gut dann eben seriös Menschen gleiche Rechte geben zeugt noch lange nicht von Dekadenz nicht einmal von Solidarität sondern lediglich von gesundem Menschenverstand - einfach normal. Das jemandem zu verweigern nur weil man eine andere sexuelle Orientierung hat ausser hetero war damals und ist auch heute noch falsch. Es liegt primär am Mensch selbst ob er geeignet ist als Partner Vater oder Mutter egal an wessen Seite. Das ist mein Standpunkt welchen vertreten Sie?,['negative'],GENAU,1 Leserin),1
Ich bin dagegen. Mir passt die Vorstellung nicht und fertig. Mir egal wenn’s juckt.,['negative'],LOVE IT,1 Leserin),2
@Klar dagegen also gehts nur um deine vorstellung das ist traurig!,['negative'],LOVE IT,12,26
@Klar dagegen Bravo du hast bewiesen dass du nicht verstanden hast worum es geht. Es geht nicht um DICH. Denn für DICH ändert sich nichts also muss du keine Angst haben. Leute wie DU dich sich von etwas eingeschüchtert fühlen die sie nichts angeht zeigen nur dass sie mit sich selbst nicht in reinem sind.,['neutral'],LOVE IT,30,65
@Klar dagegen bin auch dagegen dass du dich vermehren würdest... wäre es fair von mir dies einzufordern?,['neutral'],LOVE IT,11,19
@Klar dagegen Hauptsache in ihrem Umfeld ist alles angenehm. Dem ist nichts hinzuzufügen.,['negative'],QUATSCH,5,8
@Klar nicht verstanden Leider geht es nicht um den oder die Kommentarschreiberin derjenige hat nämlich weitergedacht es geht ganz klar darum was kommt danach? Kinder von Leihmüttern oder sonst welche künstlichen Befruchtungen pp.,['negative'],GENAU,10,14
"@Bin auch dagegen falls es um Kinder geht künstliche Befruchtung gibt es ja schon. Leimütter vertretet ich auch nicht weil die Leihmutter bestimmt Gefühle für das Kind entwickelt und es behalten möchte aber das Geld braucht. Aber Samenspenden und Adoption ist voll in Ordnung gibt kein Problem daran und wer das nicht versteht hat einfach überhaupt keine Ahnung von dieser Welt und auch nicht ""Das Wohl der Kinder "" im Kopf dann seid ihr einfach verblendet von diesen Vorzeige Familien die es so selten gibt. Wenn es euch wirklich um das Wohl der Kinder gehen würde dann würdet ihr 1. Mit den Kindern reden die gleichgeschlechtliche Eltern haben denn es ist nicht so als wäre das überall verboten. 2. Mit den Kindern reden die in einem Heim sind. Ehrlich gesagt finde ich es echt traurig das es solche Menschen gibt die sagen gleichgeschlechtliche Eltern das geht nicht denn ihr ignoriert so viele Fakten.",['negative'],QUATSCH,15,28
